id,name,username,email,phone,website,email_domain,name_length
1,Leanne Graham,bret,sincere@april.biz,1-770-736-8031 x56442,hildegard.org,april.biz,13
2,Ervin Howell,antonette,shanna@melissa.tv,010-692-6593 x09125,anastasia.net,melissa.tv,12
3,Clementine Bauch,samantha,nathan@yesenia.net,1-463-123-4447,ramiro.info,yesenia.net,16
4,Patricia Lebsack,karianne,julianne.oconner@kory.org,493-170-9623 x156,kale.biz,kory.org,16
5,Chelsey Dietrich,kamren,lucio_hettinger@annie.ca,(254)954-1289,demarco.info,annie.ca,16
6,Mrs. Dennis Schulist,leopoldo_corkery,karley_dach@jasper.info,1-477-935-8478 x6430,ola.org,jasper.info,20
7,Kurtis Weissnat,elwyn.skiles,telly.hoeger@billy.biz,210.067.6132,elvis.io,billy.biz,15
8,Nicholas Runolfsdottir V,maxime_nienow,sherwood@rosamond.me,586.493.6943 x140,jacynthe.com,rosamond.me,24
9,Glenna Reichert,delphine,chaim_mcdermott@dana.io,(775)976-6794 x41206,conrad.com,dana.io,15
10,Clementina DuBuque,moriah.stanton,rey.padberg@karina.biz,024-648-3804,ambrose.net,karina.biz,18
